2,1,5,,3.991,LMS,89.40%,VP,10.60%
2,2,5,,6.149,LMS,72.70%,VP,27.30%
2,3,5,,6.509,VP,50.70%,LMS,49.30%
2,4,5,,3.899,VP,76.90%,LMS,23.10%
2,1,6,,4.528,LMS,92.90%,VP,7.10%
2,2,6,,7.26,LMS,82.60%,VP,17.40%
2,3,6,,8.507,LMS,67.10%,VP,32.90%
2,4,6,,8.279,VP,54.50%,LMS,45.50%
2,5,6,,5.131,VP,80.10%,LMS,19.90%
2,1,7,,5.511,LMS,94.40%,VP,5.60%
2,2,7,,8.638,LMS,88.00%,VP,12.00%
2,3,7,,11.666,LMS,77.80%,VP,22.20%
2,4,7,,12.253,LMS,60.40%,VP,39.60%
2,5,7,,10.184,VP,61.50%,LMS,38.50%
2,6,7,,5.656,VP,81.30%,LMS,18.70%
2,1,8,,5.461,LMS,96.40%,VP,3.60%
2,2,8,,8.975,LMS,93.60%,VP,6.40%
2,3,8,,12.694,LMS,83.40%,VP,16.60%
2,4,8,,15.454,LMS,72.00%,VP,28.00%
2,5,8,,14.916,LMS,56.80%,VP,43.20%
2,6,8,,12.728,VP,60.80%,LMS,39.20%
2,7,8,,6.436,VP,82.20%,LMS,17.80%
2,1,9,,5.631,LMS,97.30%,VP,2.70%
2,2,9,,10.065,LMS,94.80%,VP,5.20%
2,3,9,,14.44,LMS,89.30%,VP,10.70%
2,4,9,,17.444,LMS,81.10%,VP,18.90%
2,5,9,,18.435,LMS,71.00%,VP,29.00%
2,6,9,,18.375,LMS,54.90%,VP,45.10%
2,7,9,,14.932,VP,60.40%,LMS,39.60%
2,8,9,,7.266,VP,84.40%,LMS,15.60%
2,1,10,,5.919,LMS,98.60%,VP,1.40%
2,2,10,,10.611,LMS,96.10%,VP,3.90%
2,3,10,,14.502,LMS,92.80%,VP,7.20%
2,4,10,,18.843,LMS,85.20%,VP,14.80%
2,5,10,,22.396,LMS,77.60%,VP,22.40%
2,6,10,,22.695,LMS,65.30%,VP,34.70%
2,7,10,,21.693,LMS,53.80%,VP,46.20%
2,8,10,,16.686,VP,63.20%,LMS,36.80%
2,9,10,,8.238,VP,85.20%,LMS,14.80%
3,1,5,,5.631,LMS,83.90%,VP,16.10%
3,2,5,,6.724,LMS,59.70%,VP,40.30%
3,3,5,,5.927,VP,70.40%,LMS,29.60%
3,4,5,,2.52,VP,92.70%,LMS,7.30%
3,1,6,,6.261,LMS,89.70%,VP,10.30%
3,2,6,,9.064,LMS,71.80%,VP,28.20%
3,3,6,,9.57,VP,51.10%,LMS,48.90%
3,4,6,,7.075,VP,73.70%,LMS,26.30%
3,5,6,,2.949,VP,93.80%,LMS,6.20%
3,1,7,,7.263,LMS,93.60%,VP,6.40%
3,2,7,,10.591,LMS,80.00%,VP,20.00%
3,3,7,,13.001,LMS,62.10%,VP,37.90%
3,4,7,,12.083,VP,57.10%,LMS,42.90%
3,5,7,,8.182,VP,81.00%,LMS,19.00%
3,6,7,,3.336,VP,94.50%,LMS,5.50%
3,1,8,,7.326,LMS,93.50%,VP,6.50%
3,2,8,,12.665,LMS,85.50%,VP,14.50%
